__time,_src_T_in,_src_T_out,_sink_T_out,_sink_T_in,_Energy_kWh,_Q_cond_kW,__interval_h,_T_source_ref_C,_T_sink_ref_C,m_dot_kg_s,P_comp_kW,Q_cond_kW,Q_evap_kW,COP,T2_C,T4_C
2024-09-29 01:29:11.030000,59.82621687447022,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-29 02:29:11.022500,58.97977964270814,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-29 03:29:11.015000,57.666725156214795,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-29 04:29:11.007500,56.98657124405594,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-29 05:29:11.000000,57.81851567971154,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-29 06:29:10.992500,60.05377733836224,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-29 07:29:10.985000,60.43411969326263,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-29 08:29:10.977500,59.95214272949261,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-29 09:29:10.970000,58.57171413762774,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
2024-09-29 10:29:10.962500,59.11701362017175,20,90,60,369.59999999999997,369.6007700016042,0.9999979166666666,25.0,80.0,0.0030082650858464025,99.02625876252574,-369.6007700016042,270.5745112390785,3.732351142215132,25.0,80.0
